,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,쿠에바스,6,6,2,3,1,0,1,7,4,0,0,0,0,0,1,0,0,0,0.500,0.500,1.167,1.667,1.38,3.86,0.403
1,알칸타라,4,4,1,3,1,0,1,7,2,0,0,0,0,0,1,0,0,0,0.750,0.750,1.750,2.500,0.60,2.25,0.206
2,김재윤,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5.55,1.00,0.196
3,노성호,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.91,1.62,0.196
4,백승건,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,1,0,0,0.500,0.500,2.000,2.500,1.56,1.68,0.183
5,서폴드,8,8,1,4,1,0,0,5,2,0,0,0,0,0,2,0,0,0,0.500,0.500,0.625,1.125,0.67,1.52,0.144
6,최준용,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.32,1.00,0.139
7,조영우,4,4,1,3,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,1.20,1.70,0.137
8,핀토,9,8,2,3,1,0,0,4,3,0,0,1,0,0,1,0,0,0,0.375,0.444,0.500,0.944,1.27,1.63,0.135
9,하준호,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,1.19,0.24,0.084
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,유희관,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.69,2.10,0.081
12,김태훈,4,4,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.13,1.05,0.077
13,전유수,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.88,0.28,0.074
14,장민재,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.60,0.91,0.073
15,박진우,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.97,1.26,0.063
16,손동현,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,,1.000,,,0.75,0.76,0.061
17,플렉센,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.80,0.52,0.059
18,김기훈,3,2,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.500,0.667,1.000,1.667,0.70,0.79,0.057
19,서준원,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.52,0.62,0.054
20,박희수,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,1.10,1.00,0.043
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,이승호,6,3,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0.000,0.500,0.000,0.500,0.97,0.17,0.042
23,채지선,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.30,0.54,0.040
24,강윤구,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.52,-0.14,0.038
25,샘슨,8,8,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.74,0.11,0.034
26,김민,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.74,0.35,0.034
27,박종훈,10,10,0,3,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0.300,0.300,0.400,0.700,1.19,0.16,0.031
28,킹엄,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.37,0.57,0.030
29,가뇽,5,5,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,0.600,0.64,0.49,0.030
30,고영창,4,3,0,1,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0.333,0.500,0.667,1.167,0.28,0.67,0.027
31,박진형,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,2.58,-0.21,0.017
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,윤대경,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,0.40,0.40,0.015
34,백정현,3,3,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,0.87,1.84,0.013
