,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,최성영,5,5,3,2,0,0,2,8,6,0,0,0,0,0,0,0,0,0,0.400,0.400,1.600,2.000,1.38,5.22,0.613
1,백정현,5,5,5,5,2,0,2,13,7,0,0,0,0,0,0,0,0,0,1.000,1.000,2.600,3.600,0.82,7.26,0.452
2,김태훈,2,2,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.57,1.94,0.298
3,정우람,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,2.28,1.77,0.257
4,김재웅,4,3,0,1,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0.333,0.500,0.333,0.833,0.89,1.45,0.243
5,장민재,5,3,2,3,0,0,1,6,4,0,0,0,1,0,0,0,0,1,1.000,0.800,2.000,2.800,0.66,3.30,0.231
6,이인복,4,4,0,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,0.78,2.09,0.230
7,서진용,3,3,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,2.84,0.97,0.208
8,허윤동,7,7,1,3,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0.429,0.429,1.000,1.429,0.86,1.20,0.158
9,김민수,10,9,1,3,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0.333,0.400,0.333,0.733,1.28,1.67,0.153
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,유원상,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,1.38,0.88,0.153
12,문경찬,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.400,0.000,0.400,1.52,0.75,0.135
13,오현택,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,2.06,1.73,0.122
14,정영일,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.87,1.19,0.119
15,채드벨,4,4,1,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,0.95,0.90,0.117
16,박종기,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.29,0.89,0.112
17,김영규,6,6,2,3,0,0,2,9,2,0,0,0,0,0,0,1,0,0,0.500,0.500,1.500,2.000,0.69,1.78,0.111
18,홍정우,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.39,1.40,0.108
19,김재열,3,2,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0.500,0.667,2.000,2.667,1.01,1.73,0.108
20,유희관,3,1,1,1,0,0,1,4,1,0,0,1,1,0,0,0,0,0,1.000,1.000,4.000,5.000,0.53,1.58,0.107
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,스트레일리,7,6,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.167,0.286,0.167,0.452,1.71,-0.11,0.093
23,손동현,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.31,0.36,0.088
24,김이환,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.82,0.72,0.078
25,양승철,3,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.52,1.10,0.076
26,박진태,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.54,1.82,0.075
27,임창민,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,2.82,0.75,0.063
